Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas
2019,32000,16.7,Quito,Negociable,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,,,,
2018,50000,29.4,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2020,98000,12.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2019,48000,52.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 AMG,,,,,,,,,,,,,,,,,
2013,128748,18.9,Quito,Negociable,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,,,,
2013,80000,18.9,Quito,Negociable,USED,Ford,Sedán,Edge,,,,,,,,,,,,,,,,,
2019,27000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2019,27000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
2019,27000,8.9,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Q5,,,,,,,,,,,,,,,,,
1990,100000,10.0,Quito,Negociable,USED,Suzuki,Otro,Forsa,,,,,,,,,,,,,,,,,
1979,300,11.9,Quito,Negociable,USED,Volkswagen,Hatchback (3 Puertas),Scirocco,,,,,,,,,,,,,,,,,
2007,300,35.0,Quito,Negociable,USED,Peugeot,Hatchback (3 Puertas),206,,,,,,,,,,,,,,,,,
2022,9400,16.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),JOY,,,,,,,,,,,,,,,,,
2005,100000,6.4,Quito,Negociable,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,
2016,9000,145.0,Quito,Negociable,USED,Chevrolet,Coupé,Corvetee Z06,,,,,,,,,,,,,,,,,
2016,117000,47.9,Quito,Negociable,USED,BMW,Coupé,428i,,,,,,,,,,,,,,,,,
1987,100000,27.0,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,#1721128,28000 Kms,Eléctricos,Automática,Gasolina,,,,,,,,,,,,
1987,100000,27.0,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,
2008,46000,64.0,Quito,Negociable,USED,BMW,Coupé,M3,,,,,,,,,,,,,,,,,
2008,80000,75.0,Quito,Negociable,USED,BMW,Sedán,M5,,,,,,,,,,,,,,,,,
2018,0,36.5,Quito,Negociable,USED,Can-Am,Buggy,Maverick X3,,,,,,,,,,,,,,,,,
2019,15000,123.0,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
2023,70,25.49,Quito,Negociable,USED,Jetour,Coupé,X70,,,,,,,,,,,,,,,,,
2023,0,25.49,Quito,Fijo,NEW,Jetour,Crossover,X70 II MT 1.5T,,,,,,,,,,,,,,,,,
2009,296000,17.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX TM 3.0 4X4 DIESEL CD,,,,,,,,,,,,,,,,,
2013,154000,16.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2013,173000,18.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX TM 3.0 4X4 DIESEL CD,,,,,,,,,,,,,,,,,
2018,102146,16.9,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
2014,104703,21.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2022,1527,139.9,Cuenca,Negociable,USED,Jeep,Camioneta Cabina Simple,Gladiator,,,,,,,,,,,,,,,,,
2019,50833,44.9,Cuenca,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2018,117311,11.5,Quito,Negociable,USED,Great Wall,Todoterreno,M4,,,,,,,,,,,,,,,,,
2019,36000,13.9,Quito,Negociable,USED,Chery,Todoterreno,TIGGO 2 PRO,,,,,,,,,,,,,,,,,
2014,210870,11.9,Quito,Fijo,USED,Fiat,Camioneta Cabina y Media,Strada,,,,,,,,,,,,,,,,,
2018,60703,59.99,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 250 AMG,,,,,,,,,,,,,,,,,
2015,235621,10.9,Quito,Fijo,USED,Chevrolet,Van Pasajeros,N300,,,,,,,,,,,,,,,,,
2002,183290,9.9,Quito,Fijo,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,
2012,170000,9.9,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2006,242000,19.6,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery,,,,,,,,,,,,,,,,,
2006,242000,19.6,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery II,,,,,,,,,,,,,,,,,
2019,59000,14.9,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
2019,59000,14.9,Quito,Negociable,USED,Chery,Todoterreno,Tiggo,,,,,,,,,,,,,,,,,
2008,40000,12.6,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2008,40000,12.9,Quito,Negociable,USED,Nissan,Sedán,Sentra,,,,,,,,,,,,,,,,,
2019,62000,13.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
2018,127000,10.6,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Aveo,,,,,,,,,,,,,,,,,
2018,126000,10.6,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Aveo,,,,,,,,,,,,,,,,,
2014,96000,10.9,Quito,Negociable,USED,Skoda,Hatchback (5 Puertas),Fabia A5,,,,,,,,,,,,,,,,,
2018,115000,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2011,136000,11.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
2010,166000,42.6,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner,,,,,,,,,,,,,,,,,
2018,60000,14.6,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 250 AMG,#1724735,60703 Kms,Eléctricos,Automática,Gasolina,Climatizador Bi-Zona,4 x 4,Blanco,5.0,Electrónica,2000.0,Cuero,Pichincha,,,,
2017,90000,16.4,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE,,,,,,,,,,,,,,,,,
2019,73000,29.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008 Allure,,,,,,,,,,,,,,,,,
2019,59000,14.9,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Tiggo 3,,,,,,,,,,,,,,,,,
2008,40000,12.6,Quito,Negociable,USED,Nissan,Sedán,Almera,,,,,,,,,,,,,,,,,
2018,60000,14.6,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,
2023,0,31.99,Quito,Fijo,NEW,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
2023,0,13.99,Quito,Fijo,NEW,Jetour,Van,Karry,,,,,,,,,,,,,,,,,
2023,0,36.49,Quito,Fijo,NEW,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,
2021,40000,15.9,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
2021,40000,15.9,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero Dynamic,,,,,,,,,,,,,,,,,
2021,40000,15.9,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero Stepway,,,,,,,,,,,,,,,,,
2021,15000,22.9,Quito,Negociable,USED,Chevrolet,Crossover,Tracker,,,,,,,,,,,,,,,,,
2021,15000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
2017,93000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok,,,,,,,,,,,,,,,,,
2021,46000,21.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
2019,62000,13.4,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2019,73000,29.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
2018,70000,33.8,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,,,,,,,,,,,,,,,,,
2016,87000,15.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2018,51000,30.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2020,35000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2020,35000,22.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2018,170000,10.4,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2019,22000,84.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,,,,
2018,61000,19.9,Quito,Negociable,USED,Nissan,Todoterreno,Kicks,,,,,,,,,,,,,,,,,
2021,23000,24.9,Quito,Negociable,USED,Toyota,Sedán,COROLLA HV SEG AC,,,,,,,,,,,,,,,,,
2014,66000,19.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
2014,66000,19.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2013,115873,24.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2013,115873,24.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2013,115873,24.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer 5P,,,,,,,,,,,,,,,,,
2019,99000,18.9,Quito,Negociable,USED,Kia,Crossover,NIRO Hibrido,,,,,,,,,,,,,,,,,
2018,59000,18.4,Quito,Negociable,USED,Suzuki,Todoterreno,S-Cross,,,,,,,,,,,,,,,,,
2015,100000,31.9,Quito,Negociable,USED,Honda,Todoterreno,Pilot,,,,,,,,,,,,,,,,,
2019,64000,10.4,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,#1724736,70000 Kms,Eléctricos,Manual,Diesel,Aire Acondicionado,4 x 4,Blanco,0.0,Hidráulica,2500.0,Tela,Pichincha,,,,
2019,83000,28.4,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2019,83000,28.4,Quito,Negociable,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,
2020,58000,18.6,Quito,Negociable,USED,Kia,Todoterreno,Soul,,,,,,,,,,,,,,,,,
1999,32407,24.5,Quito,Negociable,USED,Pontiac,Convertible,Firebird,,,,,,,,,,,,,,,,,
2018,49000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,
2018,49000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
2022,40000,37.9,Quito,Negociable,USED,Toyota,Todoterreno,NEW RAV 4,,,,,,,,,,,,,,,,,
2018,35000,16.9,Quito,Negociable,USED,Fiat,Coupé,500 LOUNGE,,,,,,,,,,,,,,,,,
2021,22000,24.6,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2009,111045,21.6,Quito,Negociable,USED,Lexus,Sedán,GS450H,,,,,,,,,,,,,,,,,
2013,128748,21.4,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
2015,120701,17.9,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
2023,567,27.9,Quito,Negociable,USED,Toyota,Todoterreno,Rush,,,,,,,,,,,,,,,,,
2018,130000,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo,,,,,,,,,,,,,,,,,
2018,130000,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2019,64000,10.4,Quito,Negociable,USED,Chevrolet,Van de Carga,N300,,,,,,,,,,,,,,,,,
2015,54000,35.4,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,
2015,54000,35.4,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,,,,,,,,,,,,,,,,,
2020,41000,32.6,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2015,54000,35.4,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150,,,,,,,,,,,,,,,,,
2017,65000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,
2017,65000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
2015,73000,39.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
2015,73000,39.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee,,,,,,,,,,,,,,,,,
2013,175173,13.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2021,26200,15.9,Quito,Negociable,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,
2022,29000,16.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO EX 1.2,,,,,,,,,,,,,,,,,
2019,120000,16.9,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2023,13000,17.8,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2019,64000,10.4,Quito,Negociable,USED,Faw,Camioneta Cabina Simple,T80,,,,,,,,,,,,,,,,,
2010,133000,13.9,Quito,Negociable,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,
2019,79000,26.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2019,79000,26.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage GT,,,,,,,,,,,,,,,,,
2018,93000,20.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
2018,93000,20.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,#1669717,54000 Kms,Eléctricos delanteros,Automática,Gasolina,Aire Acondicionado,4 x 4,Verde,5.0,Electrónica,3500.0,Cuero,Pichincha,3.5L DOHC V6,,,
2014,74000,11.4,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2018,38000,28.4,Quito,Negociable,USED,Jeep,Todoterreno,Compass Sport,,,,,,,,,,,,,,,,,
2018,46000,30.9,Quito,Negociable,USED,Mazda,SUV,CX-5,,,,,,,,,,,,,,,,,
2018,38000,28.9,Quito,Negociable,USED,Jeep,Todoterreno,Compass,,,,,,,,,,,,,,,,,
2018,46000,30.9,Quito,Negociable,USED,Mazda,SUV,CX-5 Active,,,,,,,,,,,,,,,,,
2015,35,28.9,Quito,Negociable,USED,Dodge,Todoterreno,Journey,,,,,,,,,,,,,,,,,
2020,17000,24.9,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
2020,17000,24.9,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,
2022,27000,23.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2022,15000,25.6,Quito,Negociable,USED,DongFeng,Camioneta Doble Cabina,RICH,,,,,,,,,,,,,,,,,
2016,5000,5.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
2016,5000,5.9,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Spark,,,,,,,,,,,,,,,,,
2022,11000,16.9,Quito,Negociable,USED,Fiat,Camioneta Cabina Simple,Fiorino,,,,,,,,,,,,,,,,,
2022,11000,16.9,Quito,Negociable,USED,Volkswagen,Camioneta Cabina Simple,Saveiro,,,,,,,,,,,,,,,,,
2022,15000,24.6,Quito,Negociable,USED,DongFeng,Camioneta Doble Cabina,NEW RICH 6 4X2 DIESEL,,,,,,,,,,,,,,,,,
2018,46000,30.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,
2017,61000,44.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2017,61000,44.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2015,71000,15.9,Quito,Negociable,USED,Hyundai,Sedán,Sonata,,,,,,,,,,,,,,,,,
2019,64000,12.6,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
2019,64000,12.6,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2015,62000,8.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,
2015,67000,18.4,Quito,Negociable,USED,Skoda,Sedán,Octavia A7,,,,,,,,,,,,,,,,,
2015,62000,8.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
2022,9000,76.9,Quito,Fijo,USED,BMW,Todoterreno,X3 Xdrive 35i,,,,,,,,,,,,,,,,,
2015,67000,18.4,Quito,Negociable,USED,Skoda,Sedán,Octavia,,,,,,,,,,,,,,,,,
2022,9000,76.9,Quito,Negociable,USED,BMW,Todoterreno,X3 Xdrive 28i,,,,,,,,,,,,,,,,,
2022,9000,76.9,Quito,Negociable,USED,BMW,Todoterreno,X3 3.0SI,,,,,,,,,,,,,,,,,
2022,9000,76.9,Quito,Negociable,USED,BMW,Todoterreno,X3,,,,,,,,,,,,,,,,,
2016,100000,16.4,Quito,Negociable,USED,Great Wall,Todoterreno,H5 Full,,,,,,,,,,,,,,,,,
2016,100000,16.4,Quito,Negociable,USED,Great Wall,Todoterreno,H5,,,,,,,,,,,,,,,,,
2019,88514,38.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
2018,54000,38.9,Quito,Negociable,USED,BMW,Todoterreno,X1,,,,,,,,,,,,,,,,,
2018,74000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,
2018,74000,18.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,#1723340,61000 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 4,Plata,9.0,Asistida,3500.0,Otro,Pichincha,,,,
2018,74000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2013,85000,33.9,Quito,Negociable,USED,Dodge,Todoterreno,Durango,,,,,,,,,,,,,,,,,
2021,45000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2017,44000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok,,,,,,,,,,,,,,,,,
2015,82000,25.9,Quito,Negociable,USED,Audi,Todoterreno,Q3,,,,,,,,,,,,,,,,,
2018,34000,29.4,Quito,Negociable,USED,Audi,Sedán,A3,,,,,,,,,,,,,,,,,
2018,34000,29.4,Quito,Negociable,USED,Audi,Hatchback (5 Puertas),A3,,,,,,,,,,,,,,,,,
2015,82000,25.6,Quito,Negociable,USED,Audi,Todoterreno,Q3 SPORTBACK,,,,,,,,,,,,,,,,,
2021,45000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Limited,,,,,,,,,,,,,,,,,
2017,44000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TSI,,,,,,,,,,,,,,,,,
2019,106000,15.9,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2021,11000,79.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLC 200,,,,,,,,,,,,,,,,,
2019,106000,15.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
2016,5000,5.9,Quito,Negociable,USED,Dayang,Hatchback (3 Puertas),Chok,,,,,,,,,,,,,,,,,
2022,15000,24.6,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,
2022,27000,23.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2022,27000,23.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2022,11000,16.9,Quito,Negociable,USED,Ram,Camioneta Cabina Simple,RAM 700 SLT,,,,,,,,,,,,,,,,,
2010,165000,9.4,Quito,Negociable,USED,Hyundai,Hatchback (5 Puertas),Getz,,,,,,,,,,,,,,,,,
2019,88514,38.9,Quito,Negociable,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,,,,
2010,165000,9.4,Quito,Negociable,USED,Hyundai,Hatchback (3 Puertas),Getz,,,,,,,,,,,,,,,,,
2019,43000,26.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2019,39000,19.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2016,38000,21.6,Quito,Negociable,USED,Volkswagen,Sedán,Passat,,,,,,,,,,,,,,,,,
2019,43000,26.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,New BT-50,,,,,,,,,,,,,,,,,
2019,43000,26.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50,,,,,,,,,,,,,,,,,
2019,39000,19.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2019,39000,19.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2016,38000,21.6,Quito,Negociable,USED,Volkswagen,Sedán,Passat CC Sport,,,,,,,,,,,,,,,,,
2016,38000,21.6,Quito,Negociable,USED,Volkswagen,Sedán,PASSAT ADVANCE,,,,,,,,,,,,,,,,,
2018,64000,11.99,Otavalo,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2018,110000,10.4,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2015,94000,14.99,Otavalo,Negociable,USED,Renault,Todoterreno,Duster 2.0,,,,,,,,,,,,,,,,,
2023,12000,31.9,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,
2022,22000,28.6,Quito,Negociable,USED,Ram,Camioneta Cabina Simple,RAM 700 SLT,#1718702,11000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Plata,5.0,Asistida,1400.0,Otro,Pichincha,,,,
2014,167000,27.5,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2020,33485,15.6,Cuenca,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
2020,33485,15.6,Cuenca,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO EX 1.2,,,,,,,,,,,,,,,,,
2019,36000,13.9,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
2015,169,14.9,Quito,Negociable,USED,Suzuki,Hatchback (5 Puertas),GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,
2022,32,16.5,Quito,Negociable,USED,Kia,Sedán,Soluto,,,,,,,,,,,,,,,,,
2014,210000,13.99,Quito,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2017,83000,24.7,Quito,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2017,11300,11.2,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,
2014,208884,14.9,Quito,Fijo,USED,Nissan,Todoterreno,X-Trail Xtreme,,,,,,,,,,,,,,,,,
2018,60000,11.6,Quito,Negociable,USED,Faw,Todoterreno,D60,,,,,,,,,,,,,,,,,
2017,93000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,
2018,50000,28.6,Quito,Negociable,USED,Nissan,Todoterreno,Qashqai exclusive,,,,,,,,,,,,,,,,,
2016,112654,28.6,Quito,Negociable,USED,Ford,Todoterreno,Edge ST,,,,,,,,,,,,,,,,,
